V01301 V04001 V04002 V04003 V13305 V10004_701 V11291_701 V12001_701 V13003_701 V14032
54423 2000 9 15 0.0000 967.8000 0.5000 17.3000 65.0000 11.7000 
54423 2000 9 16 0.0000 963.9000 0.3000 19.5000 52.0000 11.5000 
54423 2000 9 17 0.0000 966.0000 0.5000 17.2000 56.0000 11.0000 
54423 2000 9 18 0.0000 967.4000 0.5000 18.4000 64.0000 10.5000 
54423 2000 9 19 0.0000 969.4000 0.5000 20.0000 74.0000 6.4000 
54423 2000 9 20 4.3000 975.6000 1.5000 17.8000 83.0000 1.2000 
54423 2000 9 21 0.5000 976.4000 0.5000 18.5000 81.0000 6.0000 
54423 2000 9 22 1.2000 972.4000 0.0000 16.9000 90.0000 0.0000 
54423 2000 9 23 0.4000 969.5000 1.0000 17.5000 71.0000 7.8000 
54423 2000 9 24 0.0000 973.3000 0.5000 12.0000 63.0000 11.1000 
54423 2000 9 25 0.0000 974.5000 0.3000 13.0000 65.0000 10.9000 
54423 2000 9 26 0.0000 977.2000 0.5000 14.1000 62.0000 5.3000 
54423 2000 9 27 1.6000 975.8000 0.5000 13.1000 79.0000 0.0000 
54423 2000 9 28 1.2000 973.3000 0.5000 15.1000 80.0000 8.6000 
54423 2000 9 29 0.0000 972.9000 0.5000 15.0000 83.0000 5.8000 
54423 2000 9 30 0.0000 974.4000 0.5000 16.1000 78.0000 8.0000 
54423 2000 10 1 0.0000 971.0000 0.5000 16.6000 72.0000 6.3000 
54423 2000 10 2 0.0000 971.1000 0.5000 14.4000 65.0000 10.6000 
54423 2000 10 3 5.6000 971.6000 0.0000 11.4000 82.0000 0.0000 
54423 2000 10 4 0.0000 972.4000 1.0000 13.8000 72.0000 8.4000 
54423 2000 10 5 0.3000 975.7000 0.5000 9.7000 84.0000 0.0000 
54423 2000 10 6 0.0000 971.5000 0.5000 13.8000 87.0000 0.0000 
54423 2000 10 7 0.6000 970.4000 0.0000 14.1000 88.0000 0.0000 
54423 2000 10 8 1.3000 972.5000 0.8000 11.1000 69.0000 9.9000 
54423 2000 10 9 0.0000 972.9000 0.5000 10.7000 67.0000 1.7000 
54423 2000 10 10 0.0000 971.1000 0.0000 12.1000 75.0000 4.8000 
54423 2000 10 11 0.0000 981.6000 4.8000 9.7000 23.0000 6.3000 
54423 2000 10 12 0.0000 984.1000 1.8000 5.1000 38.0000 10.0000 
54423 2000 10 13 0.0000 979.2000 1.5000 4.8000 37.0000 9.7000 
54423 2000 10 14 0.0000 976.2000 0.8000 5.5000 47.0000 9.8000 
54423 2000 10 15 0.0000 984.5000 1.0000 4.2000 45.0000 9.5000 
54423 2000 10 16 0.0000 978.3000 0.3000 6.6000 59.0000 6.0000 
54423 2000 10 17 0.0000 975.2000 0.3000 8.3000 61.0000 7.3000 
54423 2000 10 18 0.0000 978.7000 1.0000 5.8000 40.0000 2.9000 
54423 2000 10 19 1.6000 971.2000 0.3000 9.0000 70.0000 4.2000 
54423 2000 10 20 0.0000 975.6000 0.5000 6.0000 52.0000 8.9000 
54423 2000 10 21 0.0000 978.9000 0.0000 5.7000 46.0000 9.2000 
54423 2000 10 22 2.5000 975.1000 0.3000 5.8000 72.0000 0.0000 
54423 2000 10 23 1.8000 971.7000 0.0000 10.9000 87.0000 2.9000 
54423 2000 10 24 0.0000 976.6000 2.8000 9.3000 44.0000 6.1000 
54423 2000 10 25 0.0000 982.3000 1.8000 2.6000 32.0000 9.2000 
54423 2000 10 26 0.0000 984.3000 0.3000 1.9000 54.0000 9.1000 
54423 2000 10 27 0.0000 982.8000 0.5000 3.8000 68.0000 5.8000 
54423 2000 10 28 0.0000 980.3000 0.5000 7.7000 63.0000 3.9000 
54423 2000 10 29 0.0000 976.6000 1.5000 5.5000 32.0000 9.4000 
54423 2000 10 30 0.0000 972.4000 1.0000 3.6000 53.0000 7.6000 
54423 2000 10 31 0.0000 978.2000 1.3000 5.7000 39.0000 9.4000 
54423 2000 11 1 0.0000 976.6000 0.3000 3.4000 49.0000 9.0000 
54423 2000 11 2 0.0000 974.8000 0.0000 4.8000 57.0000 8.5000 
54423 2000 11 3 0.0000 975.3000 0.0000 6.3000 64.0000 3.7000 
54423 2000 11 4 999990.0000 971.8000 1.5000 5.7000 44.0000 7.9000 
54423 2000 11 5 0.0000 968.4000 0.5000 4.2000 53.0000 7.3000 
54423 2000 11 6 0.0000 972.9000 2.0000 4.2000 48.0000 5.4000 
54423 2000 11 7 0.0000 987.4000 2.8000 -4.7000 22.0000 8.8000 
54423 2000 11 8 0.0000 985.2000 0.5000 -5.7000 37.0000 0.0000 
54423 2000 11 9 6.1000 982.7000 0.0000 -4.5000 86.0000 0.0000 
54423 2000 11 10 0.0000 988.7000 1.3000 -6.1000 47.0000 8.8000 
54423 2000 11 11 0.0000 982.0000 1.3000 -6.9000 64.0000 8.2000 
54423 2000 11 12 0.0000 978.4000 0.5000 -3.9000 61.0000 8.7000 
54423 2000 11 13 0.0000 976.5000 0.0000 -3.2000 70.0000 8.8000 
54423 2000 11 14 0.0000 981.4000 0.0000 -2.1000 70.0000 8.0000 
54423 2000 11 15 0.0000 991.4000 0.0000 -2.4000 39.0000 7.2000 
54423 2000 11 16 999990.0000 984.2000 1.0000 -2.5000 59.0000 0.0000 
54423 2000 11 17 0.0000 982.9000 1.3000 -3.7000 70.0000 8.6000 
54423 2000 11 18 0.0000 985.0000 0.5000 -5.1000 68.0000 6.3000 
54423 2000 11 19 1.3000 980.5000 0.5000 -1.1000 69.0000 0.0000 
54423 2000 11 20 0.0000 980.9000 1.0000 -6.5000 53.0000 8.2000 
54423 2000 11 21 0.0000 981.2000 0.5000 -8.6000 68.0000 7.5000 
54423 2000 11 22 0.0000 976.3000 0.8000 -4.5000 74.0000 6.8000 
54423 2000 11 23 0.0000 978.2000 0.3000 -3.7000 64.0000 8.0000 
54423 2000 11 24 0.0000 977.6000 0.3000 -1.3000 75.0000 0.0000 
54423 2000 11 25 999990.0000 975.2000 2.0000 2.1000 70.0000 3.9000 
54423 2000 11 26 0.0000 981.9000 0.5000 -3.2000 55.0000 8.3000 
54423 2000 11 27 0.0000 981.0000 0.3000 -5.0000 61.0000 8.0000 
